구분,총계,방범,"어린이
보호구역",공원·놀이터,"쓰레기
무단투기","시설안전
·화재예방",교통단속,"교통정보
수집·분석","기타
다른법령"
총 계,"91,341","61,972","9,106","7,466","1,461","3,652","7,216",18,450
종로구,"1,980","1,604",44,164,0,34,134,0,0
중구,"2,584",1680,76,208,62,62,329,0,167
용산구,"2,847","2,132",233,166,0,0,316,0,0
성동구,"4,047","2,604",621,216,186,0,420,0,0
광진구,"3,480","2,464",625,215,66,24,86,0,0
동대문구,"2,759","2,063",282,219,28,1,152,0,14
중랑구,"4,193","3,514",141,190,11,59,278,0,0
성북구,"4,842","2,956",444,236,378,575,235,18,0
강북구,"3,321","2,644",351,189,0,35,102,0,0
도봉구,"2,247","1,392",148,293,161,153,100,0,0
노원구,"2,617","1,408",260,500,116,180,153,0,0
은평구,"4,653","2,880",750,473,0,266,172,0,112
서대문구,"3,445","2,175",132,621,0,145,372,0,0
마포구,"2,628","2,063",195,202,40,0,128,0,0
양천구,"3,851","2,441",831,351,4,0,172,0,52
강서구,"3,265","2,532",281,313,25,0,114,0,0
구로구,"4,693","3,029",544,412,28,265,415,0,0
금천구,"2,636","1,932",272,248,46,0,138,0,0
영등포,"4,553","3,280",283,189,144,107,550,0,0
동작구,"2,671","1,815",400,170,19,99,63,0,105
관악구,"5,398","3,318",258,306,147,719,650,0,0
서초구,"4,995","2,682",204,294,0,687,"1,128",0,0
강남구,"7,243","4,851","1,157",487,0,126,622,0,0
송파구,"3,203","1,846",339,620,0,115,283,0,0
강동구,"3,190","2,667",235,184,0,0,104,0,0
